"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"";"LED5MM";"LED5MM";"LED1";"LED";"";"";"";"";"93";"";
"1";"";"R-US_0207/10";"0207/10";"R1";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"1";"";"SAO_TH_3X2";"MA03-2";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"15";"";
