"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"POPULARITY";"SPICEPREFIX";
"3";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";"28";"";
"3";"";"R-US_R1206W";"R1206W";"R1, R2, R3";"RESISTOR, American symbol";"";"";"";"";"";"";"0";"R";
"1";"SAO_SMD_3X2CON3_SSW-D-DUMZ_HDR_SAI-M";"SAO_SMD_3X2CON3_SSW-D-DUMZ_HDR_SAI-M";"SSW-D-DUMZ";"J2";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"SAM14622CT-ND";"SAM14622DKR-ND";"SAM14622TR-ND";"SSW-103-22-F-D-VS-K-TR";"Samtec Inc";"";"";
