PART NAME,DIGIKEY PART NUMBER,QUANTITY,,,
,,,,,
SURFACE MOUNT,,,,,
Resistor,RMCF1206JT100R,20,,,
Connector,952-1922-ND,5,,,
LED 1206,(see list beside),20,>>>,Red LED,LTST-C150KRKT
,,,,Green LED,LTST-C150KGKT
,,,,Blue LED,LTST-C150TBKT
,,,,Orange LED,LTST-C150KFKT
,,,,White LED,LTW-C230DS
,,,,Yellow LED,LTST-C150KSKT
,,,,,
THROUGH HOLE,,,,,
LED 3mm,1568-1197-ND,3,,,
LED 5mm,1568-1199-ND,3,,,
Resistor,RNMF12FTD107R,5,,,
Connector,BHR-06-VUA,3,,,
