"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"3";"";"LED3MM";"LED3MM";"LED1, LED2, LED3";"LED";"";"";"";"";"97";"";
"3";"";"R-US_0207/10";"0207/10";"R1, R2, R3";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"1";"";"SAO_TH_3X2";"MA03-2";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"15";"";
