Comment,Designator,Footprint,LCSC,Quantity
MMBT3906,U1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,C111114,1
MBR120LSF,D10,SOD-123_L2.8-W1.8-LS3.7-RD,C130880,1
1,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C1409,1
10K,"R10,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,2
75,"R1,R2,R3,R4,R5,R7,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17987,7
LED,"D1,D2,D3,D4,D5,D6,D7,D8",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C965822,8
